candidate_id,result_id,front,domination_count,dominates_count,crowding_distance
CAN-F950D44729A6,RES-99D54733786A,1,0,4,inf
CAN-FE6D35640A19,RES-C59AC2CEBE6F,1,0,2,inf
CAN-48F1E986DA82,RES-97DDC42A8643,1,0,0,inf
CAN-D68A7B8E644D,RES-020201BC3FCA,1,0,0,inf
CAN-CC594A9D71D4,RES-78FD95B78A5F,1,0,0,inf
CAN-6A63BF9D9EEF,RES-A2CE11A31238,1,0,0,inf
CAN-9A178C11171D,RES-67CAA6770F23,1,0,2,1.2338967567731662
CAN-C224C994D400,RES-2AE791724408,2,2,0,inf
CAN-7104CB15069E,RES-C1136E02D0A8,2,1,0,inf
CAN-ACEB60B41227,RES-43D4713FE54B,2,1,0,inf
CAN-985327594C29,RES-01FB3155C8DF,2,1,0,inf
CAN-E0B9BA4935C6,RES-E285AAB945F4,2,3,0,3.148760051517117
