rank,candidate_name,strategy_name,overall_score,performance_score,risk_score,consistency_score,robustness_score,confidence_score,fold_consistency_score,monthly_stability_score,yearly_stability_score,equity_smoothness_score,return_reliability_score,fold_success_score,degradation_score,fold_dispersion_score,parameter_stability_score,regime_stability_score,tier,recommendation,cagr,sharpe_ratio,max_drawdown,profit_factor,total_trades
1,EMA_RSI_ATR_00002,EMA_RSI_ATR,80.5989,75.1034,67.3,94.8941,87.8936,85.9024,96.0402,95.506,94.5549,98.088,89.91,100.0,70.1963,94.3431,95.0,81.5063,RESEARCH_SILVER,ADVANCE_TO_STRESS_TEST,22.16,1.7599999999999998,7.28,1.8,136
2,EMA_RSI_ATR_00008,EMA_RSI_ATR,80.4008,74.8295,66.8413,94.8748,87.896,85.7607,96.0494,97.1773,94.5489,96.8553,89.368,100.0,70.1939,94.3563,95.0,81.5085,RESEARCH_SILVER,ADVANCE_TO_STRESS_TEST,12.95,2.53,10.45,2.25,135
3,EMA_RSI_ATR_00011,EMA_RSI_ATR,77.4974,62.8815,72.9048,95.3132,87.8958,85.3222,96.0375,96.4091,94.5559,98.3672,90.826,100.0,70.2045,94.3393,95.0,81.512,CANDIDATE,KEEP_FOR_FURTHER_RESEARCH,25.7,1.0699999999999998,7.6,1.25,130
4,EMA_RSI_ATR_00009,EMA_RSI_ATR,77.1613,70.3842,59.9492,94.7995,87.5751,81.2417,96.0452,96.2037,94.5525,98.2071,88.616,100.0,70.2012,94.3502,92.8571,81.5081,CANDIDATE,KEEP_FOR_FURTHER_RESEARCH,24.15,1.5699999999999998,7.46,1.37,95
5,EMA_RSI_ATR_00004,EMA_RSI_ATR,75.4009,61.0665,69.4206,93.6201,87.8936,76.8148,96.0401,92.2566,94.5536,96.6344,88.244,100.0,70.1966,94.343,95.0,81.5053,CANDIDATE,KEEP_FOR_FURTHER_RESEARCH,12.96,1.8599999999999999,6.45,1.32,56
6,EMA_RSI_ATR_00010,EMA_RSI_ATR,74.8798,57.7755,70.7508,95.7299,87.8908,75.6827,96.043,96.5252,94.5621,98.421,92.728,100.0,70.1818,94.3472,95.0,81.5064,CANDIDATE,KEEP_FOR_FURTHER_RESEARCH,22.42,1.1099999999999999,7.3100000000000005,1.03,42
7,EMA_RSI_ATR_00001,EMA_RSI_ATR,73.2846,65.8141,47.5754,94.1363,87.8894,86.5897,96.0251,93.3655,94.5551,96.8925,89.476,100.0,70.1888,94.3215,95.0,81.5191,CANDIDATE,KEEP_FOR_FURTHER_RESEARCH,13.030000000000001,2.46,22.45,1.6,143
8,EMA_RSI_ATR_00012,EMA_RSI_ATR,72.549,57.6976,57.5571,95.1545,87.5722,85.9622,96.0402,95.6916,94.5545,98.0367,91.078,100.0,70.1966,94.3431,92.8571,81.506,CANDIDATE,KEEP_FOR_FURTHER_RESEARCH,18.16,1.9300000000000002,20.92,1.07,136
9,EMA_RSI_ATR_00006,EMA_RSI_ATR,70.6894,53.9528,55.2984,95.2661,87.5744,83.5638,96.0445,95.774,94.5486,97.8594,91.73,100.0,70.1945,94.3493,92.8571,81.5157,CANDIDATE,KEEP_FOR_FURTHER_RESEARCH,17.54,1.13,10.86,1.73,114
10,EMA_RSI_ATR_00003,EMA_RSI_ATR,70.6829,51.5267,61.4381,94.5039,87.5764,78.8966,96.0572,93.4755,94.5567,97.2172,90.838,100.0,70.1908,94.3674,92.8571,81.511,CANDIDATE,KEEP_FOR_FURTHER_RESEARCH,11.53,1.33,14.32,1.99,73
11,EMA_RSI_ATR_00005,EMA_RSI_ATR,70.0152,49.4776,58.6437,95.0434,87.8976,87.6232,96.0591,94.2667,94.5542,97.3409,92.62,100.0,70.1906,94.3702,95.0,81.5058,CANDIDATE,KEEP_FOR_FURTHER_RESEARCH,16.36,0.6799999999999999,6.76,1.69,156
12,EMA_RSI_ATR_00007,EMA_RSI_ATR,69.2891,43.9813,66.981,95.2498,87.8914,77.4236,96.0343,94.9397,94.5482,97.5691,92.786,100.0,70.1919,94.3348,95.0,81.5097,EXPERIMENTAL,REVIEW_AND_RETUNE,14.18,0.84,6.5600000000000005,1.1,58
